城市名称,AQI值,总人口,面积,人口密度,环境环保,人文底蕴,气候,美食,最高景点评分,公共汽车数量,出租汽车数量,平均气温
南充,26.0,5607565,12391.0,452.5514,30.0,47.0,1.0,3.0,5.0,845,1207,16.4538327190957
南宁,28.0,8741584,22108.0,395.4037,57.0,94.0,4.0,9.0,5.0,3834,6282,19.4442527004194
南昌,39.0,6255007,7194.0,869.4755,52.0,172.0,2.0,21.0,5.0,3916,5453,15.5521558669046
南通,26.810606060606062,7726635,9802.0,788.2713,34.0,69.0,0.0,17.0,5.0,2169,1468,14.0723171068695
南阳,30.0,9713112,26476.0,366.8648,41.0,85.0,3.0,4.0,5.0,1001,1580,14.3088255917205
博尔塔拉,47.0,433467,23910.0,18.1291,41.0,29.0,1.0,1.0,5.0,1800,3082,8.16156983528878
厦门,34.0,5163970,1590.9,3245.9425,70.0,184.0,0.0,38.0,5.0,4387,5621,19.086993980161
双河,26.810606060606062,54731,974.9,56.1401,0.0,0.0,0.0,0.0,4.9921,1800,3082,7.83874695574335
双鸭山,25.0,1208803,22612.0,53.4585,57.0,23.0,2.0,0.0,5.0,500,1100,1.2589459447199
可克达拉,26.810606060606062,69524,1440.0,48.2806,1.0,2.0,0.0,0.0,4.6,1800,3082,9.85402955283378
台州,37.0,6622888,9663.0,685.3863,53.0,120.0,1.0,19.0,5.0,1451,1851,15.0839678683948
合肥,29.0,9369881,11473.0,816.6897,44.0,86.0,2.0,14.0,5.0,6059,5890,14.7433259798484
吉安,23.0,4469176,25283.0,176.766,45.0,104.0,4.0,13.0,5.0,466,393,16.4883578123907
吉林市,26.810606060606062,3623713,27710.0,130.7728,29.0,48.0,2.0,8.0,5.0,1800,3082,2.71902172127631
吐鲁番,26.810606060606062,693988,69750.0,9.9496,31.0,130.0,0.0,14.0,5.0,30,763,11.3019792811904
吕梁,35.0,3398431,21128.0,160.8496,53.0,63.0,2.0,4.0,5.0,268,453,9.94524902554956
吴忠,26.810606060606062,1382713,16742.0,82.5895,13.0,45.0,0.0,3.0,5.0,343,1042,9.37364553445084
周口,45.0,9026015,11965.0,754.3682,8.0,132.0,0.0,6.0,5.0,711,928,14.6386063361637
