城市名称,AQI值,总人口,面积,人口密度,环境环保,人文底蕴,气候,美食
阿拉善盟,,262361,239254.0,1.0966,,,,
阿拉尔,,328241,6188.0,53.0448,1.0,3.0,0.0,1.0
阿里,,123281,334310.0,0.3688,8.0,36.0,0.0,0.0
陇南,29.0,2407272,27890.0,86.3131,29.0,46.0,3.0,4.0
陵水,,372511,1092.6,340.94,46.0,26.0,1.0,26.0
随州,21.0,2047923,9610.0,213.1033,18.0,34.0,2.0,3.0
雄安新区,30.0,1205440,1770.0,681.04,5.0,18.0,0.0,1.0
雅安,30.0,1434603,13442.0,106.7254,53.0,74.0,10.0,6.0
青岛,14.0,10071722,11229.0,896.9385,42.0,178.0,2.0,29.0
青木川,,3211462,27054.0,118.7,4.0,18.0,0.0,2.0
鞍山,19.0,3325372,9270.0,358.7,32.0,53.0,6.0,5.0
韶关,47.0,2855131,18412.53,155.0646,40.0,42.0,3.0,8.0
马鞍山,35.0,2159930,4053.4,532.8687,19.0,25.0,0.0,3.0
驻马店,31.0,7008427,15092.0,464.3803,14.0,30.0,1.0,1.0
鸡西,25.0,1502060,24841.0,60.467,17.0,16.0,0.0,1.0
鹤壁,40.0,1565973,2141.0,731.4213,14.0,21.0,2.0,6.0
鹤岗,15.0,891271,15448.0,57.6949,26.0,20.0,0.0,2.0
鹰潭,,1154223,3560.0,324.2199,16.0,6.0,1.0,3.0
黄冈,23.0,5882719,17438.0,337.3506,24.0,33.0,0.0,7.0
黄山,22.0,1330565,9673.4,137.5488,30.0,137.0,3.0,12.0
黄石,27.0,2469079,4561.0,541.346,13.0,24.0,4.0,2.0
黑河,26.0,1286401,74415.0,17.2869,32.0,71.0,2.0,16.0
黔东南,,3758622,30267.0,124.1822,58.0,146.0,2.0,18.0
黔南,,3494385,26154.0,133.6081,70.0,61.0,3.0,10.0
黔西南,,3015112,16817.0,179.2895,17.0,55.0,0.0,8.0
齐齐哈尔,24.0,4067489,42147.0,96.5072,55.0,50.0,2.0,7.0
龙岩,19.0,2723637,19028.0,143.1384,33.0,88.0,2.0,6.0
